Team1,Team2,Date,Venue,Result
RCB,KKR,4/18/2008,RCB,KKR
RR,DC,4/19/2008,DC,DC
CSK,KXIP,4/19/2008,KXIP,CSK
RCB,MI,4/20/2008,MI,RCB
KXIP,RR,4/21/2008,RR,RR
CSK,MI,4/23/2008,CSK,CSK
KXIP,MI,4/25/2008,KXIP,KXIP
CSK,KKR,4/26/2008,CSK,CSK
RCB,RR,4/26/2008,RCB,RR
KXIP,DC,4/27/2008,KXIP,KXIP
RCB,CSK,4/28/2008,RCB,CSK
MI,KKR,4/29/2008,KKR,MI
DC,RCB,4/30/2008,DC,DC
KKR,RR,5/1/2008,RR,RR
DC,CSK,5/2/2008,CSK,DC
KKR,KXIP,5/3/2008,KXIP,KXIP
MI,DC,5/4/2008,MI,MI
RR,CSK,5/4/2008,RR,RR
RCB,KXIP,5/5/2008,RCB,KXIP
RR,MI,5/7/2008,MI,MI
DC,CSK,5/8/2008,DC,CSK
RCB,KKR,5/8/2008,KKR,KKR
CSK,KXIP,5/10/2008,CSK,CSK
RR,DC,5/11/2008,RR,RR
RCB,KXIP,5/12/2008,KXIP,KXIP
KKR,DC,5/13/2008,KKR,KKR
CSK,MI,5/14/2008,MI,MI
MI,KKR,5/16/2008,MI,MI
KXIP,DC,5/17/2008,DC,KXIP
RCB,RR,5/17/2008,RR,RR
CSK,KKR,5/18/2008,KKR,CSK
DC,RCB,5/19/2008,RCB,DC
KKR,RR,5/20/2008,KKR,RR
RCB,CSK,5/21/2008,CSK,RCB
KXIP,MI,5/21/2008,MI,KXIP
KKR,DC,5/22/2008,DC,No Result
MI,DC,5/24/2008,DC,DC
RR,CSK,5/24/2008,CSK,RR
KKR,KXIP,5/25/2008,KKR,KKR
RR,MI,5/26/2008,RR,RR
KXIP,RR,5/28/2008,KXIP,KXIP
RCB,MI,5/28/2008,RCB,MI
RR,DC,5/30/2008,Neutral,RR
CSK,KXIP,5/31/2008,Neutral,CSK
RR,CSK,6/1/2008,Neutral,RR
CSK,MI,4/18/2009,Neutral,MI
RCB,RR,4/18/2009,Neutral,RCB
KXIP,DC,4/19/2009,Neutral,DC
RCB,CSK,4/20/2009,Neutral,CSK
RR,MI,4/21/2009,Neutral,No Result
KKR,KXIP,4/21/2009,Neutral,KKR
DC,CSK,4/23/2009,Neutral,DC
KKR,RR,4/23/2009,Neutral,RR
RCB,KXIP,4/24/2009,Neutral,KXIP
CSK,KKR,4/25/2009,Neutral,No Result
DC,RCB,4/26/2009,Neutral,DC
KXIP,RR,4/26/2009,Neutral,KXIP
MI,KKR,4/27/2009,Neutral,MI
RR,DC,4/28/2009,Neutral,RR
KXIP,MI,4/29/2009,Neutral,KXIP
RCB,KKR,4/29/2009,Neutral,RCB
RR,CSK,4/30/2009,Neutral,CSK
RCB,KXIP,5/1/2009,Neutral,RCB
MI,KKR,5/1/2009,Neutral,MI
DC,CSK,5/2/2009,Neutral,CSK
RCB,MI,5/3/2009,Neutral,RCB
KKR,KXIP,5/3/2009,Neutral,KXIP
KXIP,RR,5/5/2009,Neutral,RR
KKR,DC,5/5/2009,Neutral,DC
RCB,RR,5/7/2009,Neutral,RR
CSK,KXIP,5/7/2009,Neutral,CSK
MI,DC,5/8/2009,Neutral,DC
RR,CSK,5/9/2009,Neutral,CSK
RCB,MI,5/10/2009,Neutral,MI
KKR,DC,5/10/2009,Neutral,DC
KXIP,MI,5/12/2009,Neutral,MI
RCB,KKR,5/12/2009,Neutral,RCB
RCB,CSK,5/14/2009,Neutral,RCB
RR,MI,5/14/2009,Neutral,RR
KXIP,DC,5/15/2009,Neutral,KXIP
